accession,Entry Name,organism,ec_number,length,protein_name,taxonomic_group,length_bin,ec_main_class
P31335,PUR9_CHICK,Gallus gallus (Chicken),2.1.2.3; 3.5.4.10,593,Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (IMP synthase) (Inosinicase)],Birds,"(590, 600]",2
Q0VFD8,BL1S1_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.3.1.-,125,Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (Protein acetyltransferase BLOC1S1) (EC 2.3.1.-),Amphibians,"(120, 130]",2
Q05438,BMR1B_CHICK,Gallus gallus (Chicken),2.7.11.30,502,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (Activin receptor-like kinase 6) (ALK-6) (RPK-1) (Serine/threonine-protein kinase receptor R6) (SKR6),Birds,"(500, 510]",2
H2E7T7,BOMT_BOTBR,Botryococcus braunii (Green alga),2.1.1.263,379,Botryococcene C-methyltransferase (EC 2.1.1.263) (Triterpene methyltransferase 3),Algae,"(370, 380]",2
G0Y288,BOCS_BOTBR,Botryococcus braunii (Green alga),1.3.1.97,383,Botryococcene synthase (EC 1.3.1.97) (Squalene synthase-like 3),Algae,"(380, 390]",1
G0Y287,BOSS_BOTBR,Botryococcus braunii (Green alga),1.3.1.96,465,Botryococcus squalene synthase (EC 1.3.1.96) (Squalene synthase-like 2),Algae,"(460, 470]",1
P00771,COGS_LEPPG,Leptuca pugilator (Atlantic sand fiddler crab) (Uca pugilator),3.4.21.32,226,Brachyurin (EC 3.4.21.32) (Collagenolytic protease),Crustaceans,"(220, 230]",3
Q7SZE2,VSPD_GLOUS,Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis),3.4.21.-,234,Bradykinin-releasing enzyme KR-E-1 (Snake venom serine protease) (SVSP) (Thrombin-like enzyme defibrase) (EC 3.4.21.-),Reptiles,"(230, 240]",3
A0A098DJ84,ERG5B_GIBZE,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),1.14.19.41,534,C-22 sterol desaturase ERG5B (EC 1.14.19.41) (Ergosterol biosynthetic protein 5B),Protists,"(530, 540]",1
O04073,CTPA_TETOB,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus),3.4.21.102,464,"C-terminal processing peptidase, chloroplastic (EC 3.4.21.102) (D1 C-terminal processing protease) (Photosystem II D1 protein processing peptidase)",Algae,"(460, 470]",3
Q3KQ85,CNOT7_XENLA,Xenopus laevis (African clawed frog),3.1.13.4,285,CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (CCR4-associated factor 1) (CAF-1),Amphibians,"(280, 290]",3
A4II96,CNOT7_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.1.13.4,285,CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (CCR4-associated factor 1) (CAF-1),Amphibians,"(280, 290]",3
Q3ZBU2,CISD1_BOVIN,Bos taurus (Bovine),2.6.1.3,106,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET),Mammals,"(100, 110]",2
Q9NZ45,CISD1_HUMAN,Homo sapiens (Human),2.6.1.3,108,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET),Mammals,"(100, 110]",2
Q91WS0,CISD1_MOUSE,Mus musculus (Mouse),2.6.1.3,108,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET),Mammals,"(100, 110]",2
B0K020,CISD1_RAT,Rattus norvegicus (Rat),2.6.1.3,108,CDGSH iron-sulfur domain-containing protein 1 (Cysteine transaminase CISD1) (EC 2.6.1.3) (MitoNEET),Mammals,"(100, 110]",2
Q5ZHN9,PGPS1_CHICK,Gallus gallus (Chicken),2.7.8.5,557,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1)",Birds,"(550, 560]",2
Q9ZUZ2,CAMK3_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.7.11.1,595,CDPK-related kinase 3 (AtCRK3) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 4) (AtCK),Plants,"(590, 600]",2
A0A1S4GMJ4,CLC9_ANOGA,Anopheles gambiae (African malaria mosquito),3.4.21.-,356,CLIP domain-containing serine protease C9 (EC 3.4.21.-) [Cleaved into: CLIP domain-containing serine protease C9 subunit p12; CLIP domain-containing serine protease C9 subunit p30],Insects,"(350, 360]",3
Q11200,SIA4A_CHICK,Gallus gallus (Chicken),2.4.3.4,342,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (Alpha 2,3-ST 1) (Beta-galactoside alpha-2,3-sialyltransferase 1) (EC 2.4.3.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (ST3Gal I) (ST3GalI) (ST3GalA.1) (ST3O) (Sialyltransferase 4A) (SIAT4-A)",Birds,"(340, 350]",2
Q8JIL9,CNEP1_XENLA,Xenopus laevis (African clawed frog),3.1.3.16,244,CTD nuclear envelope phosphatase 1 (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard),Amphibians,"(240, 250]",3
Q28HW9,CNEP1_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.1.3.16,244,CTD nuclear envelope phosphatase 1 (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard),Amphibians,"(240, 250]",3
Q5U395,CNEPA_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),3.1.3.16,245,CTD nuclear envelope phosphatase 1A (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard-A),Fish,"(240, 250]",3
Q5F3Z7,CTSL2_CHICK,Gallus gallus (Chicken),3.1.3.-,466,CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-),Birds,"(460, 470]",3
Q5F3Z1,PYRG2_CHICK,Gallus gallus (Chicken),6.3.4.2,586,CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2),Birds,"(580, 590]",6
A0A0C5DM37,CYADH_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),1.1.1.-,376,CYP enzymes assisting alcohol dehydrogenase (CrCYPADH) (EC 1.1.1.-) (Alcohol dehydrogenase 2),Protists,"(370, 380]",1
Q9XGW0,COMT1_OCIBA,Ocimum basilicum (Sweet basil),2.1.1.68,361,Caffeic acid 3-O-methyltransferase 1 (CAOMT-1) (COMT-1) (EC 2.1.1.68) (S-adenosysl-L-methionine:caffeic acid 3-O-methyltransferase 1),Plants,"(360, 370]",2
Q9XGV9,COMT2_OCIBA,Ocimum basilicum (Sweet basil),2.1.1.68,361,Caffeic acid 3-O-methyltransferase 2 (CAOMT-2) (COMT-2) (EC 2.1.1.68) (S-adenosysl-L-methionine:caffeic acid 3-O-methyltransferase 2),Plants,"(360, 370]",2
Q9ZTT5,CAMT_PINTA,Pinus taeda (Loblolly pine),2.1.1.104,259,Caffeoyl-CoA O-methyltransferase (EC 2.1.1.104) (Trans-caffeoyl-CoA 3-O-methyltransferase) (CCoAMT) (CCoAOMT),Plants,"(250, 260]",2
Q9XGD6,CAMT1_MAIZE,Zea mays (Maize),2.1.1.104,258,Caffeoyl-CoA O-methyltransferase 1 (EC 2.1.1.104) (Trans-caffeoyl-CoA 3-O-methyltransferase 1) (CCoAMT-1) (CCoAOMT-1),Plants,"(250, 260]",2
Q9XGD5,CAMT2_MAIZE,Zea mays (Maize),2.1.1.104,264,Caffeoyl-CoA O-methyltransferase 2 (EC 2.1.1.104) (Trans-caffeoyl-CoA 3-O-methyltransferase 2) (CCoAMT-2) (CCoAOMT-2),Plants,"(260, 270]",2
Q9ZSA3,CDPKM_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.7.11.1,498,Calcium-dependent protein kinase 22 (EC 2.7.11.1),Plants,"(490, 500]",2
W0LYS5,CAMKI_MACNP,Macrobrachium nipponense (Oriental river shrimp) (Palaemon nipponensis),2.7.11.17,345,Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (MnCaMKI),Crustaceans,"(340, 350]",2
Q569M2,YDJC_XENLA,Xenopus laevis (African clawed frog),3.5.1.-,308,Carbohydrate deacetylase (EC 3.5.1.-),Amphibians,"(300, 310]",3
Q8WTN9,CHSTF_NOTSL,Nototodarus sloanii (Wellington flying squid) (Ommastrephes sloanei),2.8.2.33,159,Carbohydrate sulfotransferase 15 (EC 2.8.2.33) (N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase) (GalNAc4S-6ST),Molluscs,"(150, 160]",2
P54212,CAH_DUNSA,Dunaliella salina (Green alga) (Protococcus salinus),4.2.1.1,589,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),Algae,"(580, 590]",4
P20507,CAH1_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),4.2.1.1,377,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1) (CA1) [Cleaved into: Carbonic anhydrase 1 large chain; Carbonic anhydrase 1 small chain],Algae,"(370, 380]",4
P83299,CAH1_CHIHA,Chionodraco hamatus (Antarctic teleost icefish) (Chaenichthys rhinoceratus hamatus),4.2.1.1,259,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I) (Ice-CA),Fish,"(250, 260]",4
P24258,CAH2_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),4.2.1.1,380,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2) (CA2) [Cleaved into: Carbonic anhydrase 2 large chain; Carbonic anhydrase 2 small chain],Algae,"(370, 380]",4
Q8UWA5,CAH2_PSEHK,Pseudaspius hakonensis (Big-scaled redfin) (Tribolodon hakonensis),4.2.1.1,260,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II),Fish,"(250, 260]",4
P07630,CAH2_CHICK,Gallus gallus (Chicken),4.2.1.1; 4.2.1.69,260,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),Birds,"(250, 260]",4
Q68ER2,CBR4_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1.-.-.-; 1.1.1.-,236,Carbonyl reductase family member 4 (EC 1.-.-.-) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Quinone reductase CBR4),Amphibians,"(230, 240]",1
A0A075TXZ3,PATB_PENEN,Penicillium expansum (Blue mold rot fungus),3.1.1.1,561,Carboxylesterase patB (EC 3.1.1.1) (Patulin biosynthesis cluster protein B),Protists,"(560, 570]",3
A0A8B0RBM2,ACES_BOMIG,Bombus ignitus (Bumblebee),3.1.1.1,555,Carboxylic ester hydrolase (EC 3.1.1.1) (Venom carboxylesterase) (BivCaE),Insects,"(550, 560]",3
Q5XH09,CMBL_XENLA,Xenopus laevis (African clawed frog),3.1.-.-,246,Carboxymethylenebutenolidase homolog (EC 3.1.-.-),Amphibians,"(240, 250]",3
Q6P7K0,CMBL_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.1.-.-,246,Carboxymethylenebutenolidase homolog (EC 3.1.-.-),Amphibians,"(240, 250]",3
P04069,CBPB_ASTAS,Astacus astacus (Noble crayfish) (Astacus fluviatilis),3.4.17.2,303,Carboxypeptidase B (EC 3.4.17.2),Crustaceans,"(300, 310]",3
A0A1S4F020,CBPB1_AEDAE,Aedes aegypti (Yellowfever mosquito) (Culex aegypti),3.4.17.2,412,Carboxypeptidase B1 (AaCPB-I) (CPBAe1) (EC 3.4.17.2),Insects,"(410, 420]",3
P83852,CBPD_LOPSP,Lophonetta specularioides (Crested duck) (Anas specularioides),3.4.17.22,380,Carboxypeptidase D (EC 3.4.17.22) (CPD-2) (Metallocarboxypeptidase D),Birds,"(370, 380]",3
A0A2K3D1C8,CRLS1_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),2.7.8.41,351,Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41),Algae,"(350, 360]",2
F1N9S8,CARME_CHICK,Gallus gallus (Chicken),2.1.1.22,449,Carnosine N-methyltransferase (EC 2.1.1.22),Birds,"(440, 450]",2
A8Y9I2,NINAB_GALME,Galleria mellonella (Greater wax moth),1.13.11.65,513,"Carotenoid isomerooxygenase (EC 1.13.11.65) (Beta-carotene 15,15'-monooxygenase and retinoid isomerase) (Beta-carotene dioxygenase and retinoid isomerase) (Neither inactivation nor afterpotential mutant B)",Insects,"(510, 520]",1
Q9ZUP4,CKL5_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.7.11.1,433,Casein kinase 1-like protein 5 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 5),Plants,"(430, 440]",2
P81123,KC1D_RABIT,Oryctolagus cuniculus (Rabbit),2.7.11.1; 2.7.11.26,81,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),Mammals,"(80, 90]",2
A0A0A2JW88,CNSD_PENEN,Penicillium expansum (Blue mold rot fungus),1.11.-.-,465,Catalase cnsD (EC 1.11.-.-) (Communesin biosynthesis cluster protein D),Protists,"(460, 470]",1
Q9XHH3,CATA2_SOLLC,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1.11.1.6,492,Catalase isozyme 2 (EC 1.11.1.6),Plants,"(490, 500]",1
A4IG53,COMTB_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),2.1.1.6,264,Catechol O-methyltransferase B (EC 2.1.1.6),Fish,"(260, 270]",2
P43233,CATB_CHICK,Gallus gallus (Chicken),3.4.22.1,340,Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],Birds,"(330, 340]",3
Q05744,CATD_CHICK,Gallus gallus (Chicken),3.4.23.5,398,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],Birds,"(390, 400]",3
A0A1S4F2V5,CATL_AEDAE,Aedes aegypti (Yellowfever mosquito) (Culex aegypti),3.4.22.15,339,Cathepsin L-like peptidase (AaCatL) (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain],Insects,"(330, 340]",3
S5DQS6,PFMT1_OCIBA,Ocimum basilicum (Sweet basil),2.1.1.-,234,Cation-dependent phenylpropanoid and flavonoid 8-O-methyltransferase 1 (ObPFOMT-1) (EC 2.1.1.-) (Pilosin 8-O-methyltransferase) (EC 2.1.1.-),Plants,"(230, 240]",2
Q9ZU06,CHSY_PERAE,Persea americana (Avocado),2.3.1.74,392,Chalcone synthase (EC 2.3.1.74) (Naregenin-chalcone synthase),Plants,"(390, 400]",2
Q9ZRR8,CHS1_CASGL,Casuarina glauca (Swamp oak),2.3.1.74,389,Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase),Plants,"(380, 390]",2
Q9ZRS4,CHSY_CATRO,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),2.3.1.74,389,Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase),Plants,"(380, 390]",2
Q9ZS41,CHS1_DAUCA,Daucus carota (Wild carrot),2.3.1.74,389,Chalcone synthase 1 (EC 2.3.1.74) (DcCHS1) (Naringenin-chalcone synthase 1),Plants,"(380, 390]",2
Q9XJ58,CHS1_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),2.3.1.74,389,Chalcone synthase 1 (EC 2.3.1.74) (Naringenin-chalcone synthase 1),Plants,"(380, 390]",2
Q9XGX2,CHS1_SORBI,Sorghum bicolor (Sorghum) (Sorghum vulgare),2.3.1.74,401,Chalcone synthase 1 (EC 2.3.1.74) (Naringenin-chalcone synthase 1),Plants,"(400, 410]",2
Q9ZS40,CHS2_DAUCA,Daucus carota (Wild carrot),2.3.1.74,397,Chalcone synthase 2 (EC 2.3.1.74) (DcCHS2) (Naringenin-chalcone synthase 2),Plants,"(390, 400]",2
Q9XJ57,CHS2_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),2.3.1.74,391,Chalcone synthase 2 (EC 2.3.1.74) (Naringenin-chalcone synthase 2),Plants,"(390, 400]",2
Q9XGX1,CHS7_SORBI,Sorghum bicolor (Sorghum) (Sorghum vulgare),2.3.1.74,400,Chalcone synthase 7 (EC 2.3.1.74) (Naringenin-chalcone synthase 7),Plants,"(390, 400]",2
Q9ZWR1,CFI_CITSI,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis),5.5.1.6,222,Chalcone--flavanone isomerase (Chalcone isomerase) (EC 5.5.1.6),Plants,"(220, 230]",5
Q29238,CLIC1_PIG,Sus scrofa (Pig),1.8.-.-; 1.8.5.1,110,Chloride intracellular channel protein 1 (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27),Mammals,"(100, 110]",1
A0A060S684,CHLE_MYCMD,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),3.1.1.42,585,Chlorogenic acid esterase (EC 3.1.1.42),Protists,"(580, 590]",3
Q9XJ38,CAO_DUNSA,Dunaliella salina (Green alga) (Protococcus salinus),1.14.13.122,463,"Chlorophyllide a oxygenase, chloroplastic (Chlorophyll a oxygenase) (EC 1.14.13.122) (Chlorophyll b synthase)",Plants,"(460, 470]",1
A8WGT1,C25L2_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),1.14.99.-,279,Cholesterol 25-hydroxylase-like protein 2 (EC 1.14.99.-),Fish,"(270, 280]",1
Q9ZV56,CCT1_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.7.7.15,332,Choline-phosphate cytidylyltransferase 1 (AtCCT1) (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase 1) (Phosphorylcholine transferase 1),Plants,"(330, 340]",2
Q5ZHQ5,CHPT1_CHICK,Gallus gallus (Chicken),2.7.8.2,335,Cholinephosphotransferase 1 (EC 2.7.8.2) (Diacylglycerol cholinephosphotransferase 1),Birds,"(330, 340]",2
P09873,CHYM_FELCA,Felis catus (Cat) (Felis silvestris catus),3.4.23.4,54,Chymosin (EC 3.4.23.4),Mammals,"(50, 60]",3
P47796,CTRA_GADMO,Gadus morhua (Atlantic cod),3.4.21.1,263,Chymotrypsin A (EC 3.4.21.1),Fish,"(260, 270]",3
P80646,CTRB_GADMO,Gadus morhua (Atlantic cod),3.4.21.1,245,Chymotrypsin B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B],Fish,"(240, 250]",3
Q00871,CTRB1_PENVA,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),3.4.21.1,271,Chymotrypsin BI (EC 3.4.21.1),Crustaceans,"(270, 280]",3
P36178,CTRB2_PENVA,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),3.4.21.1,271,Chymotrypsin BII (EC 3.4.21.1),Crustaceans,"(270, 280]",3
P35003,CTRL_HALRU,Haliotis rufescens (California red abalone),3.4.21.-,254,Chymotrypsin-like serine proteinase (EC 3.4.21.-),Molluscs,"(250, 260]",3
A0A072VDF2,CCR1_MEDTR,Medicago truncatula (Barrel medic) (Medicago tribuloides),1.2.1.-; 1.2.1.44,342,Cinnamoyl-CoA reductase 1 (Mt-CCR1) (EC 1.2.1.44) (Caffeoyl-CoA reductase) (EC 1.2.1.-) (Coumaroyl-CoA reductase) (Feruloyl-CoA reductase) (Sinapoyl-CoA reductase),Protists,"(340, 350]",1
A0A059TC02,CCR1_PETHY,Petunia hybrida (Petunia),1.2.1.44,333,Cinnamoyl-CoA reductase 1 (Ph-CCR1) (EC 1.2.1.44) (Coniferylaldehyde synthase) (Coumaroyl-CoA reductase) (Feruloyl-CoA reductase) (Sinapoyl-CoA reductase),Protists,"(330, 340]",1
A0A072VPZ8,CAD1_MEDTR,Medicago truncatula (Barrel medic) (Medicago tribuloides),1.1.1.195,358,Cinnamyl alcohol dehydrogenase 1 (Mt-CAD1) (EC 1.1.1.195) (Coniferol dehydrogenase) (Coumaroyl alcohol dehydrogenase) (Sinapyl alcohol dehydrogenase),Protists,"(350, 360]",1
Q0GNE1,CISY_AMBCR,Amblyrhynchus cristatus (Galapagos marine iguana),2.3.3.1,469,"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)",Reptiles,"(460, 470]",2
P23007,CISY_CHICK,Gallus gallus (Chicken),2.3.3.1,433,"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)",Birds,"(430, 440]",2
Q0GNE0,CISY_IGUIG,Iguana iguana (Common iguana),2.3.3.1,469,"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)",Reptiles,"(460, 470]",2
A0A072VEP0,CHT5A_MEDTR,Medicago truncatula (Barrel medic) (Medicago tribuloides),3.2.1.14,384,Class V chitinase CHIT5a (MtCHIT5a) (EC 3.2.1.14),Protists,"(380, 390]",3
A0A072UR65,CHT5B_MEDTR,Medicago truncatula (Barrel medic) (Medicago tribuloides),3.2.1.14,379,Class V chitinase CHIT5b (MtCHIT5b) (EC 3.2.1.14),Protists,"(370, 380]",3
P25155,FA10_CHICK,Gallus gallus (Chicken),3.4.21.6,475,Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Virus-activating protease) (VAP) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],Birds,"(470, 480]",3
Q4QXT9,FA10_TROCA,Tropidechis carinatus (Australian rough-scaled snake),3.4.21.6,483,Coagulation factor X (EC 3.4.21.6) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],Reptiles,"(480, 490]",3
Q1L659,FA101_PSETE,Pseudonaja textilis (Eastern brown snake),3.4.21.6,483,Coagulation factor X isoform 1 (PFX1) (EC 3.4.21.6) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],Reptiles,"(480, 490]",3
Q1L658,FA102_PSETE,Pseudonaja textilis (Eastern brown snake),3.4.21.6,463,Coagulation factor X isoform 2 (PFX2) (EC 3.4.21.6) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],Reptiles,"(460, 470]",3
A0A0A2JWD5,CNSK_PENEN,Penicillium expansum (Blue mold rot fungus),2.3.1.-,466,Communesin N16 acyltransferase cnsK (EC 2.3.1.-) (Communesin biosynthesis cluster protein K),Protists,"(460, 470]",2
P81475,CFBL_CHICK,Gallus gallus (Chicken),3.4.21.-,250,Complement factor B-like protease (EC 3.4.21.-) [Cleaved into: Complement factor B-like protease Ba fragment; Complement factor B-like protease Bb fragment],Birds,"(240, 250]",3
Q9ZT64,CBG_PINCO,Pinus contorta (Shore pine) (Lodgepole pine),3.2.1.126,513,Coniferin beta-glucosidase (EC 3.2.1.126),Plants,"(510, 520]",3
Q9TWL9,COMA_CONMA,Conus magus (Magical cone),3.1.1.4,77,Conodipine-M alpha chain (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2),Molluscs,"(70, 80]",3
A0A5C2A2T2,COP1_CONPU,Conus purpurascens (Purple cone),3.1.1.4,178,Conodipine-P1 (Cdpi-P1) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P1 alpha subunit; Conodipine-P1 beta subunit],Molluscs,"(170, 180]",3
A0A5C1ZXT8,COP2_CONPU,Conus purpurascens (Purple cone),3.1.1.4,178,Conodipine-P2 (Cdpi-P2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P2 alpha subunit; Conodipine-P2 beta subunit],Molluscs,"(170, 180]",3
A0A5C1ZW08,COP3_CONPU,Conus purpurascens (Purple cone),3.1.1.4,178,Conodipine-P3 (Cdpi-P3) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P3 alpha subunit; Conodipine-P3 beta subunit],Molluscs,"(170, 180]",3
X2JE85,C7BL2_TANPA,Tanacetum parthenium (Feverfew) (Matricaria parthenium),1.14.14.150,496,Costunolide synthase (TpCOS) (EC 1.14.14.150) (Cytochrome P450 71BL2),Plants,"(490, 500]",1
A0A077K8G3,CGT1A_CITLI,Citrus limon (Lemon) (Citrus medica var. limon),2.5.1.138,407,"Coumarin 8-geranyltransferase 1, chloroplastic (EC 2.5.1.138) (Prenyltransferase 1) (ClPT1) (Umbelliferone 8-C-geranyltransferase) (U8GT)",Protists,"(400, 410]",2
A0A077K9K6,CGT1B_CITLI,Citrus limon (Lemon) (Citrus medica var. limon),2.5.1.138,407,"Coumarin 8-geranyltransferase 1b, chloroplastic (EC 2.5.1.138) (Prenyltransferase 1b) (ClPT1ba)",Protists,"(400, 410]",2
P05122,KCRB_CHICK,Gallus gallus (Chicken),2.7.3.2,381,Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase M-type) (CPK-B),Birds,"(380, 390]",2
P00565,KCRM_CHICK,Gallus gallus (Chicken),2.7.3.2,381,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),Birds,"(380, 390]",2
P11009,KCRS_CHICK,Gallus gallus (Chicken),2.7.3.2,419,"Creatine kinase S-type, mitochondrial (EC 2.7.3.2) (Basic-type mitochondrial creatine kinase) (Mib-CK) (Sarcomeric mitochondrial creatine kinase) (S-MtCK)",Birds,"(410, 420]",2
Q86GF7,CRUST_PANBO,Pandalus borealis (Northern red shrimp),3.4.22.-,323,Crustapain (EC 3.4.22.-) (NsCys),Crustaceans,"(320, 330]",3
A0A024SC78,CUTI1_HYPJR,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),3.1.1.74,248,Cutinase (EC 3.1.1.74),Protists,"(240, 250]",3
Q5RFU5,MMAC_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),1.16.1.6; 2.5.1.151,250,Cyanocobalamin reductase / alkylcobalamin dealkylase (Alkylcobalamin:glutathione S-alkyltransferase) (EC 2.5.1.151) (CblC) (Cyanocobalamin reductase (cyanide-eliminating)) (EC 1.16.1.6) (Methylmalonic aciduria and homocystinuria type C protein) (MMACHC),Fish,"(240, 250]",1
A0A482WD11,CGLR_ASBVE,Asbolus verrucosus (Desert ironclad beetle),2.7.7.86,383,Cyclic GMP-AMP synthase-like receptor (Av-cGLR) (EC 2.7.7.86),Insects,"(380, 390]",2
